,VentNoeud,HouleDominante,HouleMax,HoulePeriode,Mer,Temperature,JourNuit,VentDanger,HouleDanger,Ligne_Frioul-Vieux Port,Ligne_IF-Frioul,Ligne_IF-Vieux Port,Ligne_Vieux Port-Frioul,Ligne_Vieux Port-IF,Annulation
72,10.0,1.3,2.3,5.0,3,18.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
73,10.0,1.3,2.3,5.0,3,18.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
74,12.0,1.4,2.1,5.0,3,18.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
75,12.0,1.4,2.1,5.0,3,18.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
76,11.0,1.3,2.2,5.0,3,18.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
77,11.0,1.3,2.2,5.0,3,18.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
78,11.0,1.3,2.2,5.0,3,18.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
79,9.0,1.4,2.3,5.0,3,18.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
80,9.0,1.4,2.3,5.0,3,18.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
81,9.0,1.4,2.3,5.0,3,18.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
82,6.0,1.3,2.1,5.0,3,18.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
83,5.0,1.2,2.0,5.0,2,17.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
84,6.0,1.2,2.1,5.0,2,17.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
85,6.0,1.2,2.1,5.0,2,17.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
86,7.0,1.1,2.1,5.0,2,16.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
87,4.0,1.1,1.8,5.0,2,15.0,16,0,0,1.0,0.0,0.0,0.0,0.0,0
88,4.0,1.1,2.0,5.0,2,15.0,56,0,0,0.0,0.0,0.0,1.0,0.0,0
89,4.0,1.0,1.6,5.0,2,14.0,86,0,0,1.0,0.0,0.0,0.0,0.0,0
90,2.0,1.0,1.8,5.0,2,14.0,126,0,0,0.0,0.0,0.0,1.0,0.0,0
91,4.0,1.0,1.6,5.0,2,14.0,156,0,0,1.0,0.0,0.0,0.0,0.0,0
92,3.0,0.9,1.5,5.0,2,13.0,196,0,0,0.0,0.0,0.0,1.0,0.0,0
93,2.0,0.9,1.5,4.0,2,13.0,226,1,0,1.0,0.0,0.0,0.0,0.0,0
94,3.0,0.7,1.2,6.0,2,12.0,-101,1,0,0.0,0.0,0.0,1.0,0.0,0
95,4.0,0.6,1.1,5.0,2,11.0,-66,1,0,1.0,0.0,0.0,0.0,0.0,0
96,2.0,0.6,1.2,6.0,2,11.0,-31,1,0,0.0,0.0,0.0,1.0,0.0,0
97,4.0,0.6,1.2,6.0,2,10.0,-1,0,0,1.0,0.0,0.0,0.0,0.0,0
98,3.0,0.6,0.9,5.0,2,10.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
99,2.0,0.6,0.9,5.0,2,10.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
100,2.0,0.6,1.0,5.0,2,10.0,0,1,0,0.0,0.0,0.0,0.0,1.0,0
101,2.0,0.6,1.2,5.0,2,13.0,0,1,0,0.0,1.0,0.0,0.0,0.0,0
102,2.0,0.6,1.1,5.0,2,12.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
103,2.0,0.6,1.2,5.0,2,14.0,0,1,0,0.0,0.0,0.0,0.0,1.0,0
104,2.0,0.6,1.2,5.0,2,14.0,0,1,0,0.0,1.0,0.0,0.0,0.0,0
105,3.0,0.6,1.2,6.0,2,14.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
106,3.0,0.6,1.1,5.0,2,13.0,0,1,0,0.0,0.0,0.0,0.0,1.0,0
107,6.0,0.6,1.1,5.0,2,15.0,0,1,0,0.0,1.0,0.0,0.0,0.0,0
108,6.0,0.6,1.1,5.0,2,15.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
109,2.0,0.6,1.0,5.0,2,15.0,0,1,0,0.0,0.0,0.0,0.0,1.0,0
110,2.0,0.6,1.0,5.0,2,15.0,0,1,0,0.0,1.0,0.0,0.0,0.0,0
111,2.0,0.6,1.0,5.0,2,14.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
112,5.0,0.6,1.2,5.0,2,15.0,0,1,0,0.0,0.0,0.0,0.0,1.0,0
113,4.0,0.6,1.2,5.0,2,14.0,0,1,0,0.0,1.0,0.0,0.0,0.0,0
114,5.0,0.6,1.2,5.0,2,15.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
115,6.0,0.5,0.9,5.0,1,15.0,0,1,0,0.0,0.0,0.0,0.0,1.0,0
