,VentNoeud,HouleDominante,HouleMax,HoulePeriode,Mer,Temperature,JourNuit,VentMistral,HouleMistral,Annulation
14897,7.0,0.3,0.5,4.0,1,17.0,0,0,0,0
14900,14.0,0.4,0.7,3.0,1,18.0,0,0,1,1
14918,14.0,1.5,2.6,6.0,3,11.0,0,1,0,1
14921,15.0,1.6,2.5,6.0,3,11.0,0,1,0,1
14926,27.0,1.8,2.9,6.0,3,13.0,0,1,0,1
14929,27.0,1.8,3.0,6.0,3,13.0,0,1,0,1
14934,30.0,1.9,2.9,6.0,3,14.0,0,1,0,1
14937,20.0,2.0,3.3,6.0,3,14.0,0,1,0,1
14940,26.0,1.8,2.7,6.0,3,15.0,0,1,0,1
14946,25.0,1.8,3.0,6.0,3,15.0,0,1,0,1
14950,15.0,1.7,2.8,6.0,3,15.0,0,1,1,1
14953,22.0,1.7,3.3,6.0,3,16.0,0,1,0,1
14957,23.0,1.8,3.3,6.0,3,16.0,0,1,0,1
14976,13.0,0.9,1.7,5.0,2,13.0,0,0,0,1
14979,14.0,0.9,1.6,5.0,2,14.0,0,0,0,1
14983,18.0,0.9,1.4,4.0,2,15.0,0,0,0,1
14988,14.0,1.0,1.5,5.0,2,15.0,0,0,0,1
14991,22.0,1.0,1.6,4.0,2,15.0,0,0,0,0
14995,20.0,1.1,1.8,4.0,2,16.0,0,0,0,1
14998,19.0,1.3,2.2,5.0,3,15.0,0,0,0,1
15002,20.0,1.3,2.0,5.0,3,15.0,0,0,0,1
15005,18.0,1.4,2.6,5.0,3,15.0,0,0,0,1
15010,19.0,1.6,2.6,6.0,3,15.0,0,0,0,1
15014,21.0,1.8,2.8,6.0,3,14.0,0,0,0,1
15032,13.0,2.2,4.2,7.0,3,11.0,0,0,0,1
15035,13.0,2.3,4.1,7.0,3,11.0,0,0,0,1
15039,8.0,2.2,3.3,7.0,3,11.0,0,0,0,1
15043,9.0,2.1,3.6,7.0,3,11.0,0,0,0,1
15048,8.0,2.2,3.9,7.0,3,10.0,0,0,0,1
15052,25.0,2.2,3.4,7.0,3,10.0,0,0,0,1
15057,20.0,2.1,3.3,6.0,3,10.0,0,0,0,1
15061,20.0,2.1,4.2,6.0,3,10.0,0,0,0,1
15065,19.0,2.3,3.5,7.0,3,11.0,0,0,1,1
15068,13.0,2.3,4.1,7.0,3,11.0,0,0,0,1
15072,12.0,2.1,3.3,7.0,3,11.0,0,0,0,1
15127,10.0,1.2,2.0,5.0,2,9.0,0,1,0,1
15129,6.0,1.2,2.3,5.0,2,10.0,0,1,0,1
15134,16.0,1.4,2.6,5.0,3,12.0,0,1,0,1
15138,15.0,1.4,2.2,5.0,3,12.0,0,1,0,1
15143,15.0,1.4,2.5,5.0,3,14.0,0,1,0,1
15147,17.0,1.4,2.2,5.0,3,14.0,0,1,0,1
15150,18.0,1.7,3.3,5.0,3,15.0,0,1,0,1
15153,15.0,1.8,3.7,6.0,3,15.0,0,1,0,1
15159,17.0,1.7,2.8,6.0,3,14.0,0,1,0,1
15162,22.0,1.9,3.5,6.0,3,14.0,0,1,0,1
15167,23.0,2.1,3.4,6.0,3,15.0,0,1,0,1
15185,17.0,1.9,3.6,6.0,3,11.0,0,1,0,1
15187,17.0,1.9,3.6,6.0,3,11.0,0,1,0,1
15191,17.0,1.9,3.6,6.0,3,11.0,0,1,0,1
15197,17.0,1.9,3.6,6.0,3,11.0,0,1,0,1
15200,17.0,1.9,3.6,6.0,3,11.0,0,1,0,1
15205,17.0,1.9,3.6,6.0,3,11.0,0,1,0,1
15209,17.0,1.9,3.6,6.0,3,11.0,0,1,0,1
15211,17.0,1.9,3.6,6.0,3,11.0,0,1,0,1
15215,17.0,1.9,3.6,6.0,3,11.0,0,1,0,1
15221,17.0,1.9,3.6,6.0,3,11.0,0,1,0,1
15224,17.0,1.9,3.6,6.0,3,11.0,0,1,0,1
15426,12.0,2.0,3.2,6.0,3,13.0,0,1,0,1
15432,12.0,2.0,3.2,6.0,3,13.0,0,1,0,1
15434,12.0,2.0,3.2,6.0,3,13.0,0,1,0,1
15440,12.0,2.0,3.2,6.0,3,13.0,0,1,0,1
15443,12.0,2.0,3.2,6.0,3,13.0,0,1,0,1
15447,12.0,2.0,3.2,6.0,3,13.0,0,1,0,1
15490,26.0,1.4,2.5,5.0,3,12.0,0,1,0,1
15494,28.0,1.5,2.7,5.0,3,13.0,0,1,0,1
15497,31.0,1.7,3.5,5.0,3,15.0,0,1,0,1
15501,30.0,1.6,2.6,5.0,3,15.0,0,1,0,1
15506,27.0,1.5,2.7,5.0,3,16.0,0,1,1,1
15510,30.0,1.4,2.8,5.0,3,16.0,0,1,0,1
15525,2.0,0.6,1.2,4.0,2,10.0,0,1,0,0
15528,9.0,0.6,1.0,4.0,2,14.0,0,1,0,0
15531,6.0,0.5,0.9,4.0,1,15.0,0,0,0,0
15535,8.0,0.5,0.8,5.0,1,17.0,0,0,0,0
15538,6.0,0.4,0.7,5.0,1,19.0,0,0,0,0
15541,9.0,0.4,0.6,5.0,1,19.0,0,0,0,0
15556,8.0,0.4,0.6,3.0,1,11.0,0,0,0,0
15559,2.0,0.4,0.7,3.0,1,15.0,0,0,0,0
15562,4.0,0.3,0.6,4.0,1,15.0,0,1,0,0
15565,11.0,0.3,0.5,4.0,1,16.0,0,0,0,0
15568,10.0,0.3,0.6,4.0,1,16.0,0,0,0,0
15571,9.0,0.3,0.6,4.0,1,16.0,0,0,0,0
15586,2.0,0.3,0.6,4.0,1,12.0,0,0,0,0
15589,2.0,0.3,0.6,5.0,1,14.0,0,1,0,0
15592,3.0,0.3,0.6,4.0,1,15.0,0,1,0,0
15595,7.0,0.3,0.7,4.0,1,17.0,0,0,0,0
15598,12.0,0.4,0.6,4.0,1,17.0,0,0,0,0
15601,9.0,0.4,0.6,4.0,1,17.0,0,0,0,0
15618,4.0,0.6,1.1,3.0,2,12.0,0,1,0,1
15623,17.0,0.6,0.9,4.0,2,17.0,0,1,0,1
15627,19.0,0.7,1.2,4.0,2,18.0,0,1,0,1
15631,16.0,0.8,1.7,4.0,2,20.0,0,1,0,1
15635,18.0,0.9,1.9,4.0,2,20.0,0,1,0,1
15639,17.0,0.9,1.7,4.0,2,20.0,0,1,0,1
15657,3.0,0.4,0.6,4.0,1,14.0,0,0,0,0
15660,2.0,0.4,0.8,4.0,1,15.0,0,0,0,0
15663,3.0,0.4,0.7,3.0,1,16.0,0,0,0,0
15666,4.0,0.4,0.7,3.0,1,16.0,0,0,0,0
15669,4.0,0.4,0.6,3.0,1,16.0,0,0,0,0
15675,4.0,0.4,0.7,3.0,1,16.0,0,0,0,0
15717,2.0,0.3,0.6,4.0,1,14.0,0,0,0,0
15720,4.0,0.3,0.5,4.0,1,16.0,0,1,0,0
15723,8.0,0.3,0.4,4.0,1,18.0,0,0,0,0
15726,9.0,0.3,0.4,3.0,1,19.0,0,0,0,0
15729,8.0,0.3,0.5,4.0,1,19.0,0,0,0,0
15732,6.0,0.2,0.4,4.0,1,18.0,0,0,0,0
15749,2.0,0.3,0.4,3.0,1,13.0,0,0,0,0
15752,5.0,0.4,0.9,3.0,1,17.0,0,0,0,0
15755,6.0,0.6,1.1,3.0,2,17.0,0,1,0,0
15758,11.0,0.5,0.9,4.0,1,17.0,0,0,0,0
15761,10.0,0.6,0.9,4.0,2,17.0,0,0,0,0
15778,4.0,0.2,0.3,4.0,1,15.0,0,1,0,0
15781,3.0,0.2,0.3,4.0,1,17.0,0,1,0,0
15784,3.0,0.3,0.6,2.0,1,17.0,0,1,1,0
15787,7.0,0.3,0.6,2.0,1,19.0,0,0,1,0
15791,8.0,0.4,0.7,3.0,1,20.0,0,0,1,0
15794,9.0,0.5,0.9,3.0,1,20.0,0,0,1,0
15809,2.0,0.5,0.8,5.0,1,16.0,0,1,0,0
15812,4.0,0.5,0.9,5.0,1,18.0,0,1,0,0
15815,8.0,0.4,0.7,4.0,1,18.0,0,1,0,0
15818,9.0,0.5,0.9,4.0,1,19.0,0,1,0,0
15821,8.0,0.5,0.9,4.0,1,19.0,0,0,0,0
15824,9.0,0.5,0.9,4.0,1,17.0,0,0,0,0
15840,6.0,0.4,0.7,2.0,1,15.0,0,1,1,1
