,VentNoeud,HouleDominante,HouleMax,HoulePeriode,Mer,Temperature,JourNuit,VentMistral,HouleMistral,Annulation
7,7.0,1.2,2.1,5.0,2,15.0,0,0,0,1
10,10.0,1.2,1.9,5.0,2,16.0,0,0,0,1
13,11.0,1.2,2.3,5.0,2,17.0,0,0,0,1
19,15.0,1.2,1.9,4.0,2,17.0,0,0,0,1
22,16.0,1.2,2.0,5.0,2,18.0,0,0,0,1
27,17.0,1.2,2.0,5.0,2,18.0,0,0,0,1
31,15.0,1.2,2.0,4.0,2,17.0,0,0,0,1
33,13.0,1.1,2.0,4.0,2,17.0,0,0,0,1
38,10.0,1.1,2.0,4.0,2,17.0,0,0,0,1
43,12.0,1.0,2.3,4.0,2,17.0,0,0,0,1
46,11.0,1.0,1.7,4.0,2,17.0,0,0,0,1
65,9.0,1.3,2.8,5.0,3,14.0,0,0,0,1
68,7.0,1.3,2.2,5.0,3,15.0,0,0,0,1
73,10.0,1.3,2.3,5.0,3,18.0,0,0,0,1
76,11.0,1.3,2.2,5.0,3,18.0,0,0,0,1
81,9.0,1.4,2.3,5.0,3,18.0,0,0,0,1
84,6.0,1.2,2.1,5.0,2,17.0,0,0,0,1
100,2.0,0.6,1.0,5.0,2,10.0,0,1,0,0
103,2.0,0.6,1.2,5.0,2,14.0,0,1,0,0
106,3.0,0.6,1.1,5.0,2,13.0,0,1,0,0
109,2.0,0.6,1.0,5.0,2,15.0,0,1,0,0
112,5.0,0.6,1.2,5.0,2,15.0,0,1,0,0
115,6.0,0.5,0.9,5.0,1,15.0,0,1,0,0
130,3.0,0.5,0.8,3.0,1,6.0,0,0,0,0
133,4.0,0.5,0.8,4.0,1,7.0,0,1,0,0
136,7.0,0.5,0.7,4.0,1,13.0,0,1,0,0
139,10.0,0.4,0.7,4.0,1,13.0,0,1,0,0
142,9.0,0.4,0.8,3.0,1,13.0,0,1,0,0
145,4.0,0.5,0.9,3.0,1,13.0,0,1,0,0
161,3.0,1.3,2.2,5.0,3,9.0,0,0,0,1
165,6.0,1.1,1.8,5.0,2,13.0,0,0,0,1
169,2.0,1.1,1.9,6.0,2,15.0,0,1,0,1
173,9.0,1.0,1.6,5.0,2,17.0,0,1,1,1
176,15.0,1.0,1.8,5.0,2,17.0,0,1,1,1
181,15.0,0.9,1.5,5.0,2,16.0,0,1,0,1
196,2.0,0.3,0.6,4.0,1,6.0,0,0,0,0
199,3.0,0.3,0.5,4.0,1,10.0,0,1,0,0
202,2.0,0.3,0.5,4.0,1,11.0,0,1,0,0
205,2.0,0.3,0.5,4.0,1,12.0,0,1,0,0
208,4.0,0.3,0.5,4.0,1,14.0,0,1,0,0
211,4.0,0.3,0.5,4.0,1,14.0,0,1,0,0
226,9.0,0.5,0.8,3.0,1,12.0,0,0,0,0
229,7.0,0.5,0.9,3.0,1,14.0,0,0,0,0
232,7.0,0.5,0.8,3.0,1,15.0,0,0,0,0
236,11.0,0.6,1.0,3.0,2,15.0,0,0,0,1
239,10.0,0.6,1.0,4.0,2,15.0,0,0,0,1
244,12.0,0.8,1.4,4.0,2,15.0,0,0,0,1
259,13.0,2.0,3.4,7.0,3,15.0,0,0,0,1
263,9.0,2.5,4.1,8.0,3,15.0,0,0,0,1
268,13.0,2.3,3.6,7.0,3,16.0,0,0,0,1
271,10.0,1.9,3.2,7.0,3,15.0,0,0,0,1
276,10.0,1.7,2.7,7.0,3,14.0,0,0,0,1
280,9.0,1.6,2.8,7.0,3,14.0,0,0,0,1
296,15.0,2.2,3.5,7.0,3,10.0,0,1,0,1
299,15.0,2.0,3.3,7.0,3,11.0,0,1,0,1
303,16.0,1.9,3.3,6.0,3,13.0,0,1,0,1
307,16.0,1.9,3.3,7.0,3,13.0,0,1,0,1
311,19.0,2.1,4.1,6.0,3,13.0,0,1,0,1
315,18.0,2.2,3.8,6.0,3,13.0,0,1,0,1
332,24.0,1.4,2.2,5.0,3,9.0,0,1,0,1
336,17.0,1.3,2.1,5.0,3,10.0,0,1,0,1
339,20.0,1.2,2.0,5.0,2,12.0,0,1,0,1
344,18.0,1.3,2.1,5.0,3,12.0,0,1,0,1
348,23.0,1.2,2.0,4.0,2,13.0,0,1,1,1
352,19.0,1.1,2.7,4.0,2,12.0,0,1,1,1
367,2.0,0.5,0.8,4.0,1,5.0,0,0,0,0
370,2.0,0.5,0.8,5.0,1,9.0,0,1,0,0
373,4.0,0.5,0.8,5.0,1,9.0,0,1,0,0
376,5.0,0.5,0.8,5.0,1,12.0,0,1,0,0
380,3.0,0.5,1.0,4.0,1,13.0,0,1,0,1
383,2.0,0.6,0.9,4.0,2,12.0,0,1,0,1
399,7.0,1.3,2.4,5.0,3,8.0,0,1,0,1
404,8.0,1.2,2.2,5.0,2,12.0,0,1,0,1
408,18.0,1.1,2.0,4.0,2,12.0,0,1,0,1
411,11.0,1.1,1.9,4.0,2,15.0,0,1,0,1
416,8.0,1.0,1.7,4.0,2,15.0,0,1,0,1
420,11.0,0.8,1.4,4.0,2,14.0,0,1,0,1
435,4.0,0.7,1.1,4.0,2,6.0,0,0,0,1
439,4.0,0.7,1.3,4.0,2,9.0,0,1,0,1
444,2.0,0.6,1.2,4.0,2,9.0,0,0,0,1
448,4.0,0.8,1.5,4.0,2,12.0,0,1,0,1
452,14.0,1.1,1.9,5.0,2,15.0,0,1,0,1
455,17.0,1.1,2.1,5.0,2,15.0,0,1,0,1
471,3.0,0.5,0.8,4.0,1,10.0,0,1,0,1
475,3.0,0.5,0.8,4.0,1,10.0,0,1,0,0
478,3.0,0.5,0.8,4.0,1,10.0,0,1,0,0
481,2.0,0.4,0.6,4.0,1,13.0,0,1,0,0
484,3.0,0.3,0.6,4.0,1,13.0,0,1,0,0
487,3.0,0.3,0.5,5.0,1,14.0,0,0,0,0
505,5.0,0.9,1.5,6.0,2,6.0,0,0,0,1
509,2.0,0.9,1.6,6.0,2,10.0,0,1,0,1
512,8.0,0.9,1.4,6.0,2,13.0,0,0,0,1
516,6.0,0.9,1.8,6.0,2,12.0,0,1,0,1
520,11.0,0.9,1.7,4.0,2,13.0,0,1,0,1
526,13.0,1.0,2.0,5.0,2,12.0,0,1,0,1
567,4.0,1.7,2.8,8.0,3,7.0,0,0,0,1
570,5.0,1.7,2.9,9.0,3,8.0,0,1,0,1
574,2.0,2.2,4.1,9.0,3,10.0,0,1,0,1
578,18.0,2.5,4.1,9.0,3,11.0,0,1,0,1
582,7.0,2.5,4.6,9.0,3,10.0,0,1,0,1
587,11.0,3.0,5.2,9.0,4,10.0,0,0,0,1
602,4.0,2.0,3.2,8.0,3,3.0,0,1,0,1
607,10.0,2.0,3.5,7.0,3,6.0,0,1,0,1
611,14.0,2.2,4.1,7.0,3,9.0,0,1,0,1
615,17.0,2.2,4.0,7.0,3,9.0,0,1,0,1
618,27.0,2.0,3.7,7.0,3,9.0,0,1,0,1
622,22.0,2.1,3.4,7.0,3,7.0,0,1,0,1
639,20.0,1.7,2.6,5.0,3,4.0,0,1,1,1
643,16.0,1.6,2.8,6.0,3,6.0,0,1,0,1
647,23.0,1.8,2.9,6.0,3,6.0,0,1,0,1
651,25.0,1.8,2.9,6.0,3,8.0,0,1,0,1
655,22.0,1.9,2.9,6.0,3,8.0,0,1,0,1
659,18.0,1.6,2.5,6.0,3,7.0,0,1,0,1
668,21.0,1.6,2.6,5.0,3,3.0,0,1,1,1
670,23.0,1.7,3.0,5.0,3,5.0,0,1,1,1
672,24.0,1.9,2.9,5.0,3,9.0,0,1,1,1
674,25.0,2.2,3.4,5.0,3,10.0,0,1,1,1
676,26.0,2.3,3.7,6.0,3,10.0,0,1,1,1
678,26.0,2.1,3.7,6.0,3,10.0,0,1,0,1
689,16.0,2.1,3.8,6.0,3,3.0,0,1,0,1
692,20.0,2.0,3.3,6.0,3,5.0,0,1,0,1
697,20.0,1.8,3.2,6.0,3,7.0,0,1,0,1
701,19.0,1.8,2.8,6.0,3,8.0,0,1,0,1
705,20.0,1.6,2.6,6.0,3,7.0,0,1,0,1
708,18.0,1.6,2.6,6.0,3,7.0,0,1,0,1
725,8.0,1.4,2.6,6.0,3,1.0,0,1,0,1
729,14.0,1.4,2.2,6.0,3,3.0,0,1,0,1
732,15.0,1.4,2.2,6.0,3,5.0,0,1,0,1
736,14.0,1.4,2.4,6.0,3,6.0,0,1,0,1
740,17.0,1.5,2.9,6.0,3,7.0,0,1,0,1
744,17.0,1.5,2.4,6.0,3,6.0,0,1,0,1
784,2.0,1.5,2.7,5.0,3,2.0,0,0,0,1
788,2.0,1.1,1.8,5.0,2,4.0,0,0,0,1
793,2.0,0.9,1.6,5.0,2,8.0,0,0,0,1
796,4.0,0.8,1.4,5.0,2,10.0,0,0,0,1
800,16.0,1.0,1.6,6.0,2,11.0,0,1,0,1
805,15.0,1.0,1.7,5.0,2,11.0,0,1,0,1
827,10.0,0.9,1.4,5.0,2,8.0,0,1,0,1
830,7.0,0.9,1.5,6.0,2,10.0,0,1,0,1
834,9.0,0.9,1.6,5.0,2,11.0,0,1,0,1
850,4.0,1.2,2.4,5.0,2,1.0,0,0,0,1
855,3.0,1.3,2.1,5.0,3,4.0,0,0,0,1
859,5.0,1.1,2.0,5.0,2,7.0,0,1,1,1
862,12.0,1.2,1.9,6.0,2,8.0,0,1,0,1
866,13.0,1.3,2.1,6.0,3,8.0,0,1,0,1
871,15.0,1.4,2.6,6.0,3,8.0,0,1,0,1
887,10.0,1.4,2.7,6.0,3,4.0,0,1,1,1
891,9.0,1.3,2.3,6.0,3,3.0,0,1,0,1
894,9.0,1.3,2.2,6.0,3,5.0,0,1,1,1
898,9.0,1.3,2.1,6.0,3,7.0,0,1,1,1
902,12.0,1.3,2.9,6.0,3,7.0,0,1,0,1
907,12.0,1.2,2.1,6.0,2,7.0,0,1,0,1
923,10.0,0.8,1.3,4.0,2,3.0,0,1,0,1
926,9.0,0.8,1.5,4.0,2,3.0,0,1,0,1
931,10.0,0.8,1.3,4.0,2,3.0,0,1,0,1
934,7.0,0.8,1.5,4.0,2,4.0,0,1,1,1
938,6.0,0.7,1.3,4.0,2,5.0,0,1,1,1
943,7.0,0.7,1.2,4.0,2,6.0,0,1,0,1
958,4.0,0.6,1.1,4.0,2,1.0,0,0,0,0
961,2.0,0.6,1.1,4.0,2,3.0,0,1,0,0
964,3.0,0.6,1.0,4.0,2,6.0,0,1,0,0
967,5.0,0.6,1.0,4.0,2,8.0,0,1,0,0
970,10.0,0.6,1.0,5.0,2,9.0,0,1,0,0
975,12.0,0.6,0.9,4.0,2,9.0,0,1,1,0
1016,2.0,1.3,2.1,6.0,3,3.0,0,1,1,1
1020,7.0,1.1,2.3,6.0,2,8.0,0,1,0,1
1025,6.0,1.0,1.8,6.0,2,11.0,0,0,0,1
1028,3.0,0.9,1.7,6.0,2,12.0,0,1,1,1
1033,4.0,0.8,1.4,6.0,2,13.0,0,1,0,1
1036,8.0,0.8,1.3,6.0,2,12.0,0,1,1,1
1090,2.0,0.6,1.1,4.0,2,11.0,0,0,0,1
1093,2.0,0.6,1.1,4.0,2,11.0,0,0,0,1
1096,2.0,0.6,1.1,4.0,2,11.0,0,0,0,1
1101,2.0,0.6,1.1,4.0,2,11.0,0,0,0,1
1105,2.0,0.6,1.1,4.0,2,11.0,0,0,0,1
1110,2.0,0.7,1.0,4.0,2,12.0,0,0,0,1
1114,2.0,0.8,1.6,5.0,2,12.0,0,0,0,1
1116,2.0,0.9,1.5,5.0,2,12.0,0,0,0,1
1120,3.0,1.0,1.9,5.0,2,12.0,0,0,0,1
1126,3.0,1.2,2.1,6.0,2,12.0,0,0,0,1
1129,3.0,1.2,1.8,6.0,2,12.0,0,0,0,1
1147,4.0,1.2,2.0,7.0,2,8.0,0,0,0,1
1150,2.0,1.2,2.1,7.0,2,9.0,0,1,0,1
1154,3.0,1.2,2.2,7.0,2,9.0,0,0,0,1
1160,2.0,1.3,2.1,7.0,3,10.0,0,0,0,1
1164,2.0,1.1,1.6,7.0,2,10.0,0,1,0,1
1168,3.0,1.0,1.7,7.0,2,11.0,0,1,0,1
1171,2.0,0.9,1.4,6.0,2,13.0,0,1,0,1
1176,3.0,0.9,1.5,6.0,2,13.0,0,0,0,1
1178,4.0,0.9,1.4,6.0,2,13.0,0,0,0,1
1184,2.0,0.8,1.3,6.0,2,13.0,0,1,0,1
1188,2.0,0.8,1.4,6.0,2,13.0,0,1,0,1
1205,1.0,0.8,1.4,5.0,2,14.0,0,1,0,1
1209,1.0,0.8,1.4,5.0,2,14.0,0,1,0,1
1212,3.0,0.8,1.3,5.0,2,14.0,0,1,0,1
1218,5.0,0.8,1.4,5.0,2,14.0,0,1,0,1
1222,3.0,0.7,1.2,5.0,2,15.0,0,1,0,1
1226,7.0,0.8,1.2,5.0,2,14.0,0,1,0,1
1230,7.0,0.7,1.2,5.0,2,14.0,0,1,0,1
1232,3.0,0.7,1.1,5.0,2,15.0,0,1,0,1
1236,1.0,0.6,1.1,5.0,2,16.0,0,0,0,1
1242,2.0,0.6,1.0,5.0,2,16.0,0,1,0,1
1247,2.0,0.5,0.9,5.0,1,15.0,0,0,0,1
1267,3.0,0.7,1.3,5.0,2,14.0,0,0,0,1
1269,0.0,0.7,1.1,5.0,2,14.0,0,0,0,1
1275,1.0,0.7,1.2,5.0,2,14.0,0,1,0,1
1279,2.0,0.6,1.0,5.0,2,14.0,0,0,0,1
1282,4.0,0.7,1.2,5.0,2,14.0,0,0,0,1
1285,6.0,0.6,1.4,5.0,2,13.0,0,1,0,1
1289,2.0,0.6,1.0,5.0,2,13.0,0,1,0,1
1295,1.0,0.6,1.1,4.0,2,13.0,0,1,0,1
1297,0.0,0.6,1.0,5.0,2,13.0,0,0,0,1
1303,1.0,0.6,1.0,5.0,2,13.0,0,0,0,1
1307,2.0,0.6,1.1,5.0,2,13.0,0,1,0,1
1327,28.0,2.0,3.1,6.0,3,8.0,0,1,0,1
1329,28.0,2.0,3.1,6.0,3,8.0,0,1,0,1
1332,31.0,2.1,3.4,6.0,3,9.0,0,1,0,1
1336,29.0,2.1,3.4,6.0,3,9.0,0,1,0,1
1341,28.0,2.1,3.4,6.0,3,9.0,0,1,0,1
1345,28.0,2.1,3.4,6.0,3,9.0,0,1,0,1
1348,37.0,2.3,4.1,6.0,3,10.0,0,1,0,1
1351,34.0,2.2,4.2,6.0,3,10.0,0,1,0,1
1354,34.0,2.2,4.2,6.0,3,10.0,0,1,0,1
1358,38.0,2.4,4.1,6.0,3,10.0,0,1,0,1
1361,25.0,2.4,4.1,6.0,3,9.0,0,1,0,1
1384,39.0,2.9,5.1,7.0,4,7.0,0,1,0,1
1386,39.0,2.9,5.1,7.0,4,7.0,0,1,0,1
1389,31.0,3.1,5.8,7.0,4,7.0,0,1,0,1
1393,31.0,2.9,4.9,7.0,4,7.0,0,1,0,1
1397,39.0,3.0,5.2,7.0,4,8.0,0,1,0,1
1400,39.0,3.0,5.2,7.0,4,8.0,0,1,0,1
1404,38.0,2.9,4.9,7.0,4,8.0,0,1,0,1
1407,32.0,2.8,5.7,7.0,4,8.0,0,1,0,1
1410,32.0,2.8,5.7,7.0,4,8.0,0,1,0,1
1413,32.0,2.7,4.4,6.0,4,7.0,0,1,0,1
1416,33.0,2.9,4.3,7.0,4,7.0,0,1,0,1
1460,5.0,0.8,1.4,5.0,2,3.0,0,0,0,1
1463,3.0,0.7,1.1,5.0,2,3.0,0,1,0,1
1468,2.0,0.6,1.0,5.0,2,5.0,0,1,0,1
1471,3.0,0.6,1.1,5.0,2,7.0,0,1,0,1
1475,5.0,0.7,1.1,5.0,2,8.0,0,1,0,1
1480,2.0,0.7,1.1,5.0,2,7.0,0,0,0,1
1495,3.0,0.6,1.0,4.0,2,8.0,0,0,0,1
1499,3.0,0.9,1.4,5.0,2,8.0,0,0,0,1
1504,6.0,1.2,2.0,5.0,2,9.0,0,0,0,1
1508,5.0,1.3,2.1,5.0,3,9.0,0,0,0,1
1512,8.0,1.4,2.6,5.0,3,10.0,0,0,0,1
1516,2.0,1.5,2.6,5.0,3,10.0,0,0,0,1
1532,4.0,0.9,1.6,5.0,2,7.0,0,1,0,1
1535,4.0,0.8,1.4,5.0,2,7.0,0,1,0,1
1539,6.0,0.8,1.2,5.0,2,7.0,0,1,0,1
1543,6.0,0.8,1.3,5.0,2,7.0,0,1,0,1
1547,4.0,0.9,1.5,5.0,2,7.0,0,1,0,1
1551,6.0,0.8,1.4,6.0,2,7.0,0,1,0,1
1568,8.0,0.8,1.7,4.0,2,2.0,0,1,0,1
1572,7.0,0.9,1.4,4.0,2,4.0,0,1,0,1
1576,9.0,0.8,1.2,4.0,2,7.0,0,1,0,1
1580,11.0,0.7,1.2,4.0,2,8.0,0,1,0,1
1584,8.0,0.7,1.1,4.0,2,8.0,0,1,0,1
1587,14.0,0.7,1.2,4.0,2,7.0,0,1,1,1
1603,4.0,0.3,0.6,5.0,1,1.0,0,0,0,0
1606,2.0,0.3,0.5,4.0,1,3.0,0,1,0,0
1609,2.0,0.3,0.4,5.0,1,7.0,0,1,0,0
1612,3.0,0.2,0.4,5.0,1,8.0,0,1,0,0
1616,5.0,0.3,0.5,5.0,1,9.0,0,1,0,0
1619,2.0,0.3,0.5,4.0,1,9.0,0,1,0,0
1635,3.0,0.3,0.4,4.0,1,1.0,0,0,0,0
1638,2.0,0.3,0.5,4.0,1,3.0,0,1,0,0
1641,2.0,0.4,0.6,4.0,1,6.0,0,1,0,0
1644,4.0,0.4,0.8,4.0,1,7.0,0,1,0,0
1647,3.0,0.4,0.8,4.0,1,7.0,0,1,0,0
1653,2.0,0.5,0.8,5.0,1,7.0,0,1,0,0
1694,4.0,0.4,0.7,5.0,1,5.0,0,0,0,1
1698,2.0,0.4,0.6,5.0,1,6.0,0,1,0,1
1701,2.0,0.4,0.7,5.0,1,9.0,0,1,0,1
1705,2.0,0.4,0.9,4.0,1,12.0,0,1,0,1
1710,3.0,0.4,0.7,4.0,1,11.0,0,1,0,1
1714,2.0,0.3,0.6,5.0,1,11.0,0,1,0,1
1729,8.0,1.2,2.0,4.0,2,11.0,0,0,0,1
1734,6.0,1.1,2.0,4.0,2,12.0,0,0,0,1
1738,8.0,1.2,2.0,4.0,2,16.0,0,0,0,1
1741,14.0,1.3,2.3,5.0,3,16.0,0,0,0,1
1746,18.0,1.3,2.7,5.0,3,16.0,0,0,0,1
1749,15.0,1.7,2.9,6.0,3,15.0,0,0,0,1
1765,3.0,1.5,3.1,7.0,3,12.0,0,0,0,1
1769,2.0,1.8,2.8,8.0,3,11.0,0,1,0,1
1774,2.0,1.8,2.9,8.0,3,14.0,0,0,0,1
1778,3.0,1.9,2.8,8.0,3,14.0,0,1,0,1
1782,3.0,1.9,3.4,8.0,3,16.0,0,1,0,1
1786,4.0,1.8,3.2,8.0,3,15.0,0,0,0,1
1802,9.0,1.5,2.5,5.0,3,4.0,0,1,1,1
1805,9.0,1.4,2.3,5.0,3,5.0,0,1,1,1
1810,5.0,1.5,2.6,5.0,3,6.0,0,1,1,1
1814,14.0,1.4,2.6,5.0,3,6.0,0,1,1,1
1818,17.0,1.3,2.5,5.0,3,6.0,0,1,1,1
1822,9.0,1.3,2.1,5.0,3,5.0,0,1,1,1
1838,9.0,1.0,1.7,6.0,2,6.0,0,1,0,1
1842,5.0,0.9,1.7,6.0,2,5.0,0,1,0,1
1845,4.0,1.0,1.9,7.0,2,5.0,0,1,0,1
1849,3.0,1.0,1.6,7.0,2,6.0,0,1,0,1
1854,3.0,0.9,1.7,6.0,2,7.0,0,1,0,1
1859,2.0,0.9,1.6,6.0,2,8.0,0,0,0,1
1875,2.0,0.6,1.0,7.0,2,9.0,0,1,0,0
1878,1.0,0.5,0.9,7.0,1,11.0,0,1,0,0
1881,5.0,0.5,0.8,7.0,1,12.0,0,1,0,0
1884,6.0,0.5,0.9,7.0,1,12.0,0,1,0,0
1887,10.0,0.5,0.9,7.0,1,12.0,0,1,0,0
1891,6.0,0.5,0.8,7.0,1,12.0,0,1,0,0
1932,8.0,1.3,2.2,5.0,3,12.0,0,1,1,1
1935,11.0,1.2,1.9,5.0,2,13.0,0,1,0,1
1940,17.0,1.1,1.9,4.0,2,15.0,0,1,1,1
1944,17.0,1.2,2.3,4.0,2,16.0,0,1,1,1
1948,17.0,1.1,1.9,4.0,2,15.0,0,1,1,1
1952,12.0,0.9,1.7,4.0,2,15.0,0,1,0,1
1967,8.0,0.5,0.8,4.0,1,14.0,0,1,0,0
1970,3.0,0.6,1.0,4.0,2,14.0,0,1,0,0
1973,10.0,0.7,1.1,4.0,2,17.0,0,1,0,0
1976,12.0,0.9,1.5,4.0,2,18.0,0,1,0,0
1980,8.0,0.9,1.5,4.0,2,20.0,0,1,0,1
1984,13.0,0.8,1.3,4.0,2,19.0,0,1,0,1
2000,9.0,0.9,2.0,4.0,2,14.0,0,1,0,1
2004,5.0,0.9,1.6,4.0,2,16.0,0,1,1,1
2008,15.0,0.9,1.5,4.0,2,17.0,0,1,0,1
2011,11.0,0.8,1.5,4.0,2,18.0,0,1,0,1
2016,9.0,0.8,1.4,4.0,2,18.0,0,1,0,1
2020,7.0,0.8,1.6,4.0,2,18.0,0,1,1,1
2035,11.0,0.7,1.3,3.0,2,14.0,0,1,1,1
2039,10.0,0.8,1.5,4.0,2,15.0,0,1,1,1
2044,11.0,0.9,1.6,4.0,2,17.0,0,1,1,1
2048,11.0,0.9,1.5,4.0,2,18.0,0,1,1,1
2051,8.0,0.9,1.5,4.0,2,18.0,0,1,1,1
2056,7.0,0.8,1.4,4.0,2,18.0,0,1,1,1
2071,0.0,0.6,0.9,4.0,2,12.0,0,1,0,0
2074,2.0,0.5,0.8,4.0,1,13.0,0,0,0,0
2078,5.0,0.5,0.8,4.0,1,14.0,0,1,1,0
2082,3.0,0.4,0.6,4.0,1,14.0,0,0,1,0
2085,4.0,0.3,0.6,4.0,1,14.0,0,0,0,0
2090,1.0,0.3,0.4,4.0,1,15.0,0,0,0,0
2107,6.0,0.6,1.2,3.0,2,12.0,0,0,0,0
2110,10.0,0.7,1.3,4.0,2,13.0,0,0,0,0
2113,12.0,0.9,1.5,4.0,2,14.0,0,0,0,0
2116,13.0,1.0,2.0,4.0,2,14.0,0,0,0,0
2119,11.0,1.0,1.8,4.0,2,16.0,0,0,0,0
2123,10.0,1.0,1.9,4.0,2,15.0,0,0,0,0
2165,4.0,0.6,1.1,6.0,2,11.0,0,0,0,0
2168,1.0,0.6,1.0,6.0,2,14.0,0,0,0,0
2171,3.0,0.6,1.0,6.0,2,13.0,0,0,0,0
2174,4.0,0.6,1.1,6.0,2,13.0,0,0,0,0
2177,5.0,0.6,0.9,6.0,2,13.0,0,0,0,1
2181,4.0,0.5,0.9,6.0,1,13.0,0,0,0,1
2197,1.0,0.4,0.7,6.0,1,11.0,0,1,0,0
2200,2.0,0.4,0.6,6.0,1,12.0,0,1,0,0
2203,5.0,0.4,0.6,6.0,1,13.0,0,1,0,0
2206,4.0,0.3,0.5,6.0,1,13.0,0,1,0,0
2209,3.0,0.3,0.5,6.0,1,13.0,0,1,0,0
2212,10.0,0.4,0.6,6.0,1,13.0,0,1,0,0
2229,3.0,0.1,0.2,3.0,0,5.0,0,0,0,1
2232,3.0,0.1,0.2,3.0,0,6.0,0,0,1,1
2237,2.0,0.1,0.2,2.0,0,7.0,0,0,1,1
2240,2.0,0.1,0.2,2.0,0,7.0,0,0,0,1
2244,2.0,0.1,0.2,3.0,0,8.0,0,0,0,1
2247,2.0,0.1,0.1,3.0,0,8.0,0,0,0,1
2251,2.0,0.1,0.2,4.0,0,8.0,0,0,0,1
2256,2.0,0.1,0.1,4.0,0,9.0,0,0,0,1
2261,2.0,0.1,0.2,3.0,0,10.0,0,0,0,1
2265,2.0,0.2,0.4,3.0,1,10.0,0,0,1,1
2268,2.0,0.1,0.2,2.0,0,10.0,0,0,1,1
2286,3.0,0.6,0.9,4.0,2,11.0,0,0,0,1
2289,3.0,0.6,1.3,4.0,2,10.0,0,0,0,1
2293,3.0,0.6,1.1,4.0,2,12.0,0,0,0,1
2299,3.0,0.6,1.1,4.0,2,12.0,0,0,0,1
2303,3.0,0.7,1.3,4.0,2,13.0,0,0,0,1
2307,3.0,0.7,1.3,4.0,2,14.0,0,0,0,1
2309,2.0,0.8,1.4,4.0,2,15.0,0,0,0,1
2313,2.0,0.9,1.6,5.0,2,15.0,0,0,0,1
2318,4.0,0.9,1.5,5.0,2,14.0,0,0,0,1
2322,4.0,0.8,1.5,5.0,2,14.0,0,0,0,1
2326,4.0,0.8,1.3,5.0,2,12.0,0,0,0,1
2345,18.0,0.9,1.4,4.0,2,7.0,0,1,0,1
2347,18.0,0.8,1.4,4.0,2,8.0,0,1,0,1
2353,19.0,0.9,1.4,4.0,2,8.0,0,1,0,1
2355,19.0,0.8,1.4,4.0,2,8.0,0,1,0,1
2361,19.0,0.8,1.4,4.0,2,9.0,0,1,0,1
2363,20.0,0.9,1.8,4.0,2,10.0,0,1,0,1
2369,20.0,0.9,1.7,4.0,2,10.0,0,1,1,1
2372,21.0,0.9,2.0,4.0,2,10.0,0,1,1,1
2376,22.0,0.9,1.8,4.0,2,10.0,0,1,0,1
2381,22.0,0.9,1.6,4.0,2,9.0,0,1,1,1
2385,18.0,0.8,1.4,4.0,2,8.0,0,1,1,1
2402,4.0,0.3,0.5,4.0,1,7.0,0,1,0,0
2404,4.0,0.3,0.5,4.0,1,8.0,0,1,0,0
2408,4.0,0.3,0.4,5.0,1,5.0,0,1,0,0
2410,4.0,0.3,0.4,5.0,1,5.0,0,1,0,0
2414,4.0,0.3,0.4,5.0,1,5.0,0,1,0,0
2416,3.0,0.3,0.5,5.0,1,6.0,0,1,0,0
2420,3.0,0.3,0.5,5.0,1,6.0,0,1,0,0
2423,4.0,0.3,0.8,5.0,1,10.0,0,1,0,0
2426,4.0,0.3,0.8,5.0,1,7.0,0,1,0,0
2429,4.0,0.3,0.5,5.0,1,8.0,0,1,0,0
2432,4.0,0.3,0.5,6.0,1,10.0,0,1,0,0
2450,11.0,0.9,1.5,4.0,2,13.0,0,0,0,1
2453,12.0,0.9,1.6,4.0,2,13.0,0,0,0,1
2456,12.0,0.9,1.4,4.0,2,14.0,0,0,0,1
2462,12.0,0.9,1.4,4.0,2,14.0,0,0,0,1
2465,12.0,0.9,1.4,4.0,2,14.0,0,0,0,1
2468,12.0,0.9,1.4,4.0,2,14.0,0,0,0,1
2472,12.0,0.9,1.4,4.0,2,14.0,0,0,0,1
2478,12.0,0.9,1.4,4.0,2,14.0,0,0,0,1
2482,12.0,0.9,1.4,4.0,2,14.0,0,0,0,1
2486,12.0,0.9,1.4,4.0,2,14.0,0,0,0,1
2490,12.0,0.9,1.4,4.0,2,14.0,0,0,0,1
2531,18.0,1.2,1.9,5.0,2,7.0,0,1,0,1
2536,18.0,1.2,2.4,5.0,2,10.0,0,1,0,1
2540,16.0,1.3,2.6,5.0,3,11.0,0,1,0,1
2543,14.0,1.2,2.3,5.0,2,12.0,0,1,0,1
2547,12.0,1.0,1.7,5.0,2,13.0,0,1,1,1
2552,10.0,1.0,1.7,5.0,2,12.0,0,1,1,1
2567,2.0,1.2,2.0,7.0,2,9.0,0,0,0,1
2571,4.0,1.2,2.1,6.0,2,13.0,0,0,0,1
2575,3.0,1.1,1.8,6.0,2,16.0,0,0,0,1
2579,6.0,1.0,1.9,6.0,2,17.0,0,0,0,1
2584,8.0,0.9,1.6,6.0,2,17.0,0,0,0,1
2587,10.0,1.0,1.6,6.0,2,15.0,0,0,0,1
2603,4.0,1.1,1.9,7.0,2,8.0,0,1,0,1
2607,5.0,1.2,1.9,6.0,2,12.0,0,1,0,1
2611,8.0,1.2,1.8,7.0,2,13.0,0,1,0,1
2615,13.0,1.1,1.9,6.0,2,14.0,0,1,0,1
